"gene","lfc","padj","tissue","comparison"
"Ccdc115",3.07554782670992,0.0075797350636532,"DG","home.cage-standard.yoked"
"Ccdc126",-4.29738162667,0.0394300897146945,"DG","home.cage-standard.yoked"
"Ccdc127",2.43621536632574,0.00279143326449161,"DG","home.cage-standard.yoked"
"Ccdc137",2.41575995360902,0.0593420081652335,"DG","home.cage-standard.yoked"
"Ccdc174",1.88993638475486,0.0639810714353524,"DG","home.cage-standard.yoked"
"Ccdc24",8.0481438644357,8.56349580943208e-05,"DG","home.cage-standard.yoked"
"Ccdc66",2.63124717078881,0.00623164534086355,"DG","home.cage-standard.yoked"
"Ccdc77",4.38910320381376,0.00111288857820864,"DG","home.cage-standard.yoked"
"Ccdc86",-3.36466790216595,0.0403908644505588,"DG","home.cage-standard.yoked"
"Ccdc92b",1.81581424762559,0.0363539600120232,"DG","home.cage-standard.yoked"
"Ccdc94",-4.1328545410402,0.0924981438393221,"DG","home.cage-standard.yoked"
"Ccnjl",1.9677579412606,0.0980812890363116,"DG","home.cage-standard.yoked"
"Ccnl1",1.1484735405033,0.0942233430754102,"DG","home.cage-standard.yoked"
"Ccp110",1.80749124608656,0.0969394209629167,"DG","home.cage-standard.yoked"
"Cct7",0.890294241475746,0.0653409480128526,"DG","home.cage-standard.yoked"
"Cct8",1.18415276591802,0.0350082407230452,"DG","home.cage-standard.yoked"
"Cdc23",1.38073591149632,0.041677916263642,"DG","home.cage-standard.yoked"
"Cdc25b",-2.54119920089373,0.0686365258267059,"DG","home.cage-standard.yoked"
"Cdc27",1.95007536100191,0.0298280332034144,"DG","home.cage-standard.yoked"
"Cdc37l1",1.88233748848204,0.0599513060021954,"DG","home.cage-standard.yoked"
"Cdh11",1.30700172602133,0.0440905043231806,"DG","home.cage-standard.yoked"
"Cdh13",2.68805017799706,0.00746223763606159,"DG","home.cage-standard.yoked"
"Cdh18",2.82743312636735,0.0958522217427319,"DG","home.cage-standard.yoked"
"Cdh8",-1.19565107076586,0.0947042385042042,"DG","home.cage-standard.yoked"
"Cdip1",1.08198105960846,0.023626902280757,"DG","home.cage-standard.yoked"
"Cdk12",3.67638852260771,0.00263914310831664,"DG","home.cage-standard.yoked"
"Cdkn1b",1.27722999068283,0.0806880127110256,"DG","home.cage-standard.yoked"
