"","gene","CA1.ConfT.ConfY","CA1.ConfY.StdY","CA1.StdT.StdY","CA3.ConfY.StdY","CA3.StdT.StdY","DG.ConfT.ConfY","DG.ConfY.StdY","DG.StdT.StdY"
"224","Gipc1",0,1,1,0,0,0,0,0
"225","Glyctk",0,1,0,0,0,0,0,0
"226","Gm14326",0,1,1,0,0,0,0,0
"227","Gm16485",0,1,1,0,0,0,0,0
"228","Gm20390",1,1,0,0,0,0,0,0
"229","Gm21685",0,0,1,0,0,0,0,0
"230","Gm21887",0,0,1,0,0,0,0,0
"231","Gm43796",0,1,0,0,0,0,0,0
"232","Gm43951",0,1,1,0,0,0,0,0
"233","Gm4631",0,0,1,0,0,0,0,0
"234","Gm5148",0,1,0,0,0,0,0,0
"235","Gm9803",0,1,0,0,0,0,0,0
"236","Gm9821",0,0,1,0,0,0,0,0
"237","Golga1",0,1,0,0,0,0,0,0
"238","Golm1",0,1,0,0,0,0,0,0
"239","Gpank1",0,1,0,0,0,0,0,0
"240","Gpd1",0,1,1,0,0,0,0,0
"241","Greb1l",0,1,1,0,0,0,0,0
"242","Grid1",0,1,0,0,0,0,0,0
"243","Grik3",0,0,1,0,0,0,0,0
"244","Grin2b",0,0,1,0,0,0,0,0
