"","row","column","cor","p","padj"
"429","GABRA1","FGFR3",0.114903298298306,0.683445112840016,0.841163215803097
"430","LAMC1","TNC",0.11319037603725,0.687943257337818,0.842169137270068
"431","PC1","PRKCZ",-0.112235060934587,0.690456154854703,0.842169137270068
"432","PC1","WWC1",0.111490503049212,0.692416752218621,0.842169137270068
"433","PC2","PRKCZ",0.109346434948873,0.698072685012783,0.842169137270068
"434","CAMK2A","PNN",-0.108935531966991,0.699158320156404,0.842169137270068
"435","TNC","GABRA1",-0.108053324653083,0.701491000787512,0.842169137270068
"436","TNR","ALDH1A1",-0.10717992769386,0.703802824896462,0.842169137270068
"437","PRKCB","PIN1",-0.106951842953783,0.704406947631594,0.842169137270068
"438","CFL1","GFAP",0.106872469076256,0.704617221855018,0.842169137270068
"439","LAMC1","GABRA1",0.106199302321406,0.706401345998223,0.842169137270068
"440","IGF2","GFAP",0.106095075354689,0.706677710534865,0.842169137270068
"441","PRKCZ","NSF",-0.105772084234821,0.707534358170347,0.842169137270068
"442","PC1","GFAP",0.105684285444696,0.707767277325807,0.842169137270068
"443","LAMA1","SLC1A2",-0.105646999784389,0.707866198770862,0.842169137270068
"444","PRKCB","IGF2",0.105525836381288,0.708187683613466,0.842169137270068
"445","CFL1","ALDH1L1",-0.103947953370721,0.712378464443088,0.845249054440339
"446","LAMA1","ALDOC",0.0998249020861078,0.72336493643557,0.855032414520262
"447","LAMA1","PTPRS",0.0996385624626991,0.723862669110904,0.855032414520262
"448","PC1","ROCK2",0.0988811651775761,0.725886811748402,0.855402994621471
"449","LIMK1","ALDH1A1",0.0983091786500949,0.727416561714092,0.855402994621471
"450","NSF","IGF2",0.0957562157209439,0.734255917411768,0.857925730569576
"451","PIN1","IGF2",0.0956331354492992,0.734586121205329,0.857925730569576
"452","TNC","PNN",0.0954601921344947,0.735050172110898,0.857925730569576
"453","LIMK1","SLC1A2",0.0945297900736494,0.737548133600797,0.857925730569576
"454","PTPRS","ALDOC",-0.094478414303863,0.73768613954278,0.857925730569576
"455","PRKCB","LAMB1",-0.0930480194636418,0.741531447751262,0.860316022414173
"456","CFL1","ALDH1A1",0.0925022248806783,0.743000201175876,0.860316022414173
"457","PRKCB","ALDH1L2",-0.0913997707421182,0.745969451408604,0.861864048892217
"458","WWC1","ALDH1L1",-0.0906581451360567,0.747968749280955,0.862287117074988
"459","TNR","ALDH1L2",0.0877131708085699,0.755922514344722,0.86955792499785
"460","PC1","PRKCB",-0.084662726531613,0.764185170720778,0.877151674218632
"461","PRKCZ","TNXB",0.0836361660305896,0.766971151767327,0.878439844106613
"462","LIMK1","FGFR3",-0.0823887004522667,0.770360211873498,0.88041167071257
"463","PRKCZ","TNR",0.0814623541682767,0.772879369485739,0.881382952674882
"464","PRKCB","PTPRS",0.0806396709080737,0.775118386458129,0.881410722305364
"465","PRKCI","GABRA1",0.0802269030083089,0.776242397484838,0.881410722305364
"466","PRKCI","ALDH1L1",-0.0789306411287195,0.779774927226043,0.883521805955689
"467","PNN","ALDH1L2",0.0780215720464742,0.782254683712363,0.883996331275149
"468","PIN1","ALDH1L2",-0.0775498544077147,0.783542202721155,0.883996331275149
"469","PC2","EGFR",-0.0768475446186478,0.785460071233009,0.884270613243132
"470","GRIA2","CAMK2A",-0.0751593540502668,0.79007485230812,0.887573451103591
"471","LAMA1","TNXB",0.0731806116255047,0.795492117571796,0.891186446394555
"472","PNN","AQP4",0.0727520076634084,0.796666671776951,0.891186446394555
"473","IGF2","AQP4",0.0710836066649197,0.80124262525663,0.893266630085977
"474","PC1","CFL1",-0.0708405316902242,0.801909815645366,0.893266630085977
"475","PC1","NSF",-0.069212821015195,0.806380796733962,0.894221348100659
"476","TNC","CFL1",-0.0690372308802908,0.806863441257926,0.894221348100659
"477","TNXB","LIMK1",-0.0681733177538381,0.809239017710768,0.894221348100659
"478","PC1","GJB6",0.0677698633617951,0.810348962032253,0.894221348100659
"479","CAMK2A","TNR",-0.0671242443837453,0.812125822951086,0.894221348100659
"480","GABRA1","ALDH1L2",-0.0668326953818256,0.812928498273326,0.894221348100659
