tissue,gene,lfc,padj,logpadj,comparison,direction
CA1,Senp8,4.76,7.63e-02,1.12,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Snx1,-1.01,9.67e-02,1.01,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Aph1c,-1.49,9.51e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ice2,-2.45,4.32e-02,1.36,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Bnip2,-1.39,9.48e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Unc13c,4.8,8.27e-02,1.08,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Gclc,-1.22,9.32e-02,1.03,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Gsta4,-2.64,2.52e-03,2.6,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Irak1bp1,-1.15,9.48e-02,1.02,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Hmgn3,-1.52,4.21e-02,1.38,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Ctsh,-2.91,8.53e-02,1.07,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Pik3cb,2.25,8.86e-02,1.05,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Msl2,-0.98,8.71e-02,1.06,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Amotl2,4.98,6.29e-02,1.2,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Srprb,6.96,2.52e-03,2.6,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Glyctk,5.3,4.21e-02,1.38,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Abhd14b,5.12,6.72e-02,1.17,standard.yoked vs. conflict.yoked,conflict.yoked
CA1,Cyb561d2,-2.29,4.88e-02,1.31,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Tcta,-1.66,9.80e-02,1.01,standard.yoked vs. conflict.yoked,standard.yoked
CA1,Usp19,-0.92,5.79e-02,1.24,standard.yoked vs. conflict.yoked,standard.yoked
